rowOrder;titleOrderInRow;positionScore
1;1;1000.0
2;1;900.0
2;2;855.0
2;3;812.25
2;4;771.6374999999999
2;5;694.47375
2;6;555.5790000000001
2;7;527.80005
2;8;501.4100475
2;9;476.339545125
2;10;452.52256786874995
2;11;429.89643947531243
2;12;408.4016175015468
2;13;387.98153662646945
2;14;368.58245979514595
2;15;350.1533368053886
2;16;332.64566996511917
2;17;316.0133864668632
2;18;300.21271714352
2;19;285.202081286344
2;20;270.9419772220268
2;21;257.3948783609255
2;22;244.5251344428792
2;23;232.29887772073522
2;24;220.68393383469845
2;25;209.64973714296352
2;26;199.16725028581533
2;27;189.20888777152456
2;28;179.74844338294832
2;29;170.7610212138009
2;30;162.22297015311082
2;31;154.11182164545528
2;32;146.4062305631825
2;33;139.08591903502338
2;34;132.13162308327222
2;35;125.5250419291086
2;36;119.24878983265316
2;37;113.2863503410205
2;38;107.62203282396946
2;39;102.24093118277098
2;40;97.12888462363243
2;41;92.2724403924508
2;42;87.65881837282826
2;43;83.27587745418684
2;44;79.11208358147749
2;45;75.15647940240362
2;46;71.39865543228343
2;47;67.82872266066926
2;48;64.43728652763579
2;49;61.215422201254
2;50;58.1546510911913
2;51;55.24691853663173
2;52;52.484572609800146
2;53;49.86034397931014
2;54;47.36732678034463
2;55;44.99896044132739
2;56;42.74901241926102
2;57;40.61156179829797
2;58;38.58098370838307
2;59;36.65193452296392
2;60;34.819337796815724
2;61;33.07837090697494
2;62;31.42445236162619
2;63;29.85322974354488
2;64;28.360568256367635
2;65;26.942539843549252
2;66;25.595412851371787
2;67;24.315642208803197
2;68;23.099860098363035
2;69;21.94486709344488
2;70;20.847623738772636
3;1;720.0
3;2;684.0
3;3;649.8
3;4;617.31
3;5;555.579
3;6;444.4632
3;7;422.24003999999996
3;8;401.12803799999995
3;9;381.0716360999999
3;10;362.0180542949999
3;11;343.9171515802499
3;12;326.72129400123737
3;13;310.38522930117546
3;14;294.8659678361167
3;15;280.1226694443108
3;16;266.1165359720953
3;17;252.8107091734905
3;18;240.17017371481595
3;19;228.16166502907512
3;20;216.75358177762135
3;21;205.91590268874026
3;22;195.62010755430325
3;23;185.83910217658809
3;24;176.5471470677587
3;25;167.71978971437073
3;26;159.3338002286522
3;27;151.3671102172196
3;28;143.7987547063586
3;29;136.60881697104068
3;30;129.77837612248865
3;31;123.2894573163642
3;32;117.124984450546
3;33;111.26873522801868
3;34;105.70529846661775
3;35;100.42003354328686
3;36;95.39903186612251
3;37;90.62908027281638
3;38;86.09762625917556
3;39;81.79274494621677
3;40;77.70310769890592
3;41;73.81795231396063
3;42;70.1270546982626
3;43;66.62070196334946
3;44;63.289666865181985
3;45;60.125183521922885
3;46;57.11892434582674
3;47;54.2629781285354
3;48;51.54982922210863
3;49;48.972337761003196
3;50;46.523720872953035
3;51;44.19753482930538
3;52;41.98765808784011
3;53;39.8882751834481
3;54;37.89386142427569
3;55;35.999168353061904
3;56;34.19920993540881
3;57;32.48924943863837
3;58;30.864786966706447
3;59;29.321547618371124
3;60;27.855470237452565
3;61;26.462696725579935
3;62;25.139561889300936
3;63;23.882583794835888
3;64;22.688454605094094
3;65;21.55403187483939
3;66;20.476330281097418
3;67;19.452513767042547
3;68;18.47988807869042
3;69;17.555893674755897
3;70;16.6780989910181
4;1;684.0
4;2;649.8
4;3;617.31
4;4;586.4445
4;5;527.8000499999999
4;6;422.24003999999996
4;7;401.12803799999995
4;8;381.0716360999999
4;9;362.0180542949999
4;10;343.9171515802499
4;11;326.72129400123737
4;12;310.38522930117546
4;13;294.8659678361167
4;14;280.1226694443108
4;15;266.1165359720953
4;16;252.8107091734905
4;17;240.17017371481595
4;18;228.16166502907512
4;19;216.75358177762135
4;20;205.91590268874026
4;21;195.62010755430325
4;22;185.83910217658809
4;23;176.5471470677587
4;24;167.71978971437073
4;25;159.3338002286522
4;26;151.3671102172196
4;27;143.7987547063586
4;28;136.60881697104068
4;29;129.77837612248865
4;30;123.2894573163642
4;31;117.124984450546
4;32;111.26873522801868
4;33;105.70529846661775
4;34;100.42003354328686
