date;type;title;total;live;od;web;app
25.05.2026;S;La Promesa;6821;672;6262;5134;1687
25.05.2026;S;Aktuaalne kaamera;4645;2456;2434;4154;491
25.05.2026;S;Terevisioon;2810;1819;1127;2513;297
25.05.2026;S;Ringvaade;2658;1578;1153;2389;269
25.05.2026;S;Välisilm;1311;1165;163;1200;111
25.05.2026;S;Sport;1164;1046;125;1041;123
25.05.2026;S;Hercule Poirot;1516;252;1279;989;527
25.05.2026;S;Kadunud;1594;64;1533;917;677
25.05.2026;S;Õnne 13;902;195;720;783;119
25.05.2026;S;Hommik Anuga;632;169;482;565;67
25.05.2026;S;Maxima;518;0;518;490;28
25.05.2026;S;Pealtnägija;555;0;555;472;83
25.05.2026;S;Suured loomad, väiksed loomad;681;0;681;455;226
25.05.2026;S;ENSV;524;0;524;417;107
25.05.2026;S;Õde Boniface'i mõistatused;451;318;134;403;48
25.05.2026;S;Prillitoos;447;312;146;403;44
25.05.2026;S;Betty diagnoosid;427;203;242;376;51
25.05.2026;S;Grace;720;25;695;372;348
25.05.2026;S;Ukraina stuudio;329;34;295;317;12
25.05.2026;S;31. jaoskond;320;246;74;300;20
25.05.2026;S;Ohtlik lend;327;0;327;252;75
25.05.2026;S;Müstiline Venemaa;252;0;252;248;4
25.05.2026;S;Mõrvad põhjas;373;0;373;234;139
25.05.2026;S;Joanna Lumley Suurbritannia avastusretk;276;157;125;228;48
25.05.2026;S;Ivalo;236;0;236;200;36
25.05.2026;S;Jana - igaveseks märgitud;335;0;335;200;135
25.05.2026;S;Õhukesel jääl. Putin ja Greenpeace;233;150;89;197;36
25.05.2026;S;Marie Antoinette;300;30;270;197;103
25.05.2026;S;Grantchester;213;175;42;193;20
25.05.2026;S;Hotell Portofino;238;0;238;190;48
25.05.2026;S;Reetur;240;25;218;169;71
25.05.2026;S;"Järjejutt. Sam Wachman ""Päevalillepoisid""";159;0;159;159;0
25.05.2026;S;Maailm ja mõnda;173;11;161;145;28
25.05.2026;S;Lühhike öppetus Eesti kultuurist;189;0;189;141;48
25.05.2026;S;Kuninglik skandaal;185;0;185;141;44
25.05.2026;S;Kuld;264;7;257;141;123
25.05.2026;S;Impulss;166;0;166;134;32
25.05.2026;S;Varastatud lootus: Armukelm;201;21;184;134;67
25.05.2026;S;Elukaaslased;182;42;141;134;48
25.05.2026;S;Maahommik;167;0;167;131;36
25.05.2026;S;Südameasi;223;7;216;128;95
25.05.2026;S;Osoon;144;0;144;124;20
25.05.2026;S;Professor T.;252;0;252;121;131
25.05.2026;S;Lahku. Barcelona;184;0;184;117;67
25.05.2026;S;Teel jalgpalli MM-ile;133;53;80;117;16
25.05.2026;S;Õpe ei lõpe;114;97;17;110;4
25.05.2026;S;Tähelaev;114;79;38;110;4
25.05.2026;S;Pulss;115;0;115;107;8
25.05.2026;S;Samost ja Aaspõllu;115;0;115;107;8
25.05.2026;S;Eurovisiooni lauluvõistlus 2026;187;0;187;100;87
25.05.2026;S;Tuulepealne maa;133;0;133;97;36
25.05.2026;S;Raudne eesriie. Elu Nõukogude okupatsiooni tingimustes;113;0;113;97;16
25.05.2026;S;See ei ole mõrvamüsteerium;137;7;130;93;44
25.05.2026;S;Esimene stuudio;109;8;101;93;16
25.05.2026;S;Õhinapõhised;141;4;138;90;51
25.05.2026;S;Kõik patud;141;0;141;90;51
25.05.2026;S;Milderid Marokos;149;4;145;86;63
25.05.2026;S;Eesti lood;94;3;91;86;8
25.05.2026;S;Rahva oma kaitse;83;0;83;83;0
25.05.2026;S;Plekktrumm;87;0;87;79;8
25.05.2026;S;Käbi ei kuku...;79;0;79;79;0
25.05.2026;S;Davos 1917;116;0;116;76;40
25.05.2026;S;Reispass;76;0;76;76;0
25.05.2026;S;Kuula rändajat;69;0;69;69;0
25.05.2026;S;Välistund;66;17;52;66;0
25.05.2026;S;Nullpunkt;62;0;62;62;0
25.05.2026;S;Segased;82;0;82;62;20
25.05.2026;S;Argentina, äärmuste maa;103;0;103;59;44
25.05.2026;S;TV 10 olümpiastarti;63;42;21;55;8
25.05.2026;S;Sissi;63;0;63;55;8
25.05.2026;S;Minu meri;91;4;87;55;36
25.05.2026;S;Eesti lugu;55;0;55;55;0
25.05.2026;S;"Järjejutt. Jari Järvelä ""Mozzarellakuu""";55;0;55;55;0
25.05.2026;S;Sherlock Holmesi lood;52;0;52;52;0
25.05.2026;S;Jalgpalli Premium Liiga;56;0;56;52;4
25.05.2026;S;Von Fock;64;0;64;52;12
25.05.2026;S;Archie;52;0;52;52;0
25.05.2026;S;Erakordsed Šveitsi mägiraudteed;56;42;14;48;8
25.05.2026;S;Wikmani poisid;60;0;60;48;12
25.05.2026;S;Muutuv planeet;52;0;52;48;4
25.05.2026;S;Kunagi pole liiga hilja;53;0;53;45;8
25.05.2026;S;Surm paradiisis;57;0;57;45;12
25.05.2026;S;Truu naine;61;0;61;45;16
25.05.2026;S;Tuled kodusadamas;65;4;61;45;20
25.05.2026;S;OP;69;8;61;45;24
25.05.2026;S;Dalgliesh;69;0;69;41;28
25.05.2026;S;????+;100;82;19;41;59
25.05.2026;S;Unustamatu;53;0;53;41;12
25.05.2026;S;Kah mul sugulased;41;0;41;41;0
25.05.2026;S;Kes tappis Otto Mülleri?;57;0;57;41;16
25.05.2026;S;Hercule Poirot' lood;41;0;41;41;0
25.05.2026;S;"Järjejutt. Dale Carnegie ""Kuidas võita sõpru ja mõjustada inimesi""";38;0;38;38;0
25.05.2026;S;Rakett 69;46;0;46;38;8
25.05.2026;S;Martin Clunesiga Atlandi ookeani saartel;54;0;54;38;16
25.05.2026;S;Eesti (täielik ja kontrollitud) ajalugu;46;0;46;38;8
25.05.2026;S;Ajalugu viie minutiga;38;0;38;38;0
25.05.2026;S;Parlament;74;0;74;38;36
25.05.2026;S;?????????? ??????;93;56;42;38;55
25.05.2026;S;Sherwood;34;0;34;34;0
25.05.2026;S;Reykjavíki fusioon;54;0;54;34;20
25.05.2026;S;Vaikimiskoodeks;58;3;55;34;24
25.05.2026;S;Okavango – unistuste jõgi;38;0;38;34;4
25.05.2026;S;Kalifaat;34;17;17;34;0
25.05.2026;S;Põrsas Peppa;731;7;724;34;697
25.05.2026;S;Elu võimalikkusest maal;35;0;35;31;4
25.05.2026;S;4x4;31;0;31;31;0
25.05.2026;S;Litvinenko;43;0;43;31;12
25.05.2026;S;Ridley;39;11;28;31;8
25.05.2026;S;Buratino tegutseb jälle;193;0;193;31;162
25.05.2026;S;Öine rong;51;0;51;31;20
25.05.2026;S;Mullist välja;31;0;31;31;0
25.05.2026;S;"Järjejutt. Agatha Christie ""Haripunkti poole""";28;0;28;28;0
25.05.2026;S;Unistuste maja;28;0;28;28;0
25.05.2026;S;Eesti mäng;40;0;40;28;12
25.05.2026;S;Sina ja mina;36;0;36;28;8
25.05.2026;S;Lammas Shaun;147;11;136;28;119
25.05.2026;S;Tšornobõli katastroof;40;0;40;28;12
25.05.2026;S;?????? ?? ????;48;44;3;28;20
25.05.2026;S;Harald ja Sonja;40;0;40;28;12
25.05.2026;S;Päevakaja;28;3;25;24;4
25.05.2026;S;Kultuuriuudised;24;17;7;24;0
25.05.2026;S;Kadumiste kolmnurk;36;0;36;24;12
25.05.2026;S;"Järjejutt. Ain Kütt ""Kolme kaardi mõistatus""";24;0;24;24;0
25.05.2026;S;Uudistesaated;24;14;10;24;0
25.05.2026;S;Nicolas le Floch;32;0;32;24;8
25.05.2026;S;100 000 minutit ninapidi koos;36;0;36;24;12
25.05.2026;S;Elu allpool nulli;28;3;25;24;4
25.05.2026;S;Rebased ja mägrad;32;17;15;24;8
25.05.2026;S;Lennud;32;14;18;24;8
25.05.2026;S;Shetland;32;0;32;24;8
25.05.2026;S;Nota bene! Teatriluulud;32;0;32;24;8
25.05.2026;S;Õhtujutt;28;3;25;24;4
25.05.2026;S;"Järjejutt. Eet Tuule ""Kimalased Piksekivil""";24;0;24;24;0
25.05.2026;S;"XXVIII laulu- ja XXI tantsupidu ""Iseoma""";36;0;36;24;12
25.05.2026;S;?????;28;25;3;24;4
25.05.2026;S;Päästa ema;24;0;24;24;0
25.05.2026;S;Uudis+;21;14;7;21;0
25.05.2026;S;Miks mitte?!;21;0;21;21;0
25.05.2026;S;Vera;25;0;25;21;4
25.05.2026;S;Operatsioon Ai;148;22;126;21;127
25.05.2026;S;Hiir Hops;65;18;47;21;44
25.05.2026;S;Miss Marple'i lood;25;0;25;21;4
25.05.2026;S;18-aastane oligarh;21;0;21;21;0
25.05.2026;S;Vikerhommik;21;17;3;21;0
25.05.2026;S;Järjejutt. Jojo Moyes ''Kui kõik kokku liita'';21;0;21;21;0
