date;type;title;total;live;od;web;app
10.06.2026;S;Aktuaalne kaamera;4760;2060;2839;4323;437
10.06.2026;S;La Promesa;4563;754;3879;3744;819
10.06.2026;S;Pulss;4444;1201;3398;3158;1286
10.06.2026;S;Terevisioon;2898;1957;1029;2491;407
10.06.2026;S;ENSV;1869;883;1018;1619;250
10.06.2026;S;Esimene stuudio;1720;1244;524;1605;115
10.06.2026;S;Isa Brown;1397;0;1397;824;573
10.06.2026;S;Sport;1248;1059;199;1138;110
10.06.2026;S;Patrullis;1201;0;1201;670;531
10.06.2026;S;Hercule Poirot;1115;0;1115;572;543
10.06.2026;S;Pärast pidu;990;0;990;837;153
10.06.2026;S;Eesti mäng;953;804;171;872;81
10.06.2026;S;Õnne 13;807;231;589;722;85
10.06.2026;S;Sinu uus sugulane;742;610;136;687;55
10.06.2026;S;Betty diagnoosid;632;287;355;551;81
10.06.2026;Y;Rock-Hotel. Kuidas läks sul see mäng;618;543;81;597;21
10.06.2026;S;Grace;547;3;543;297;250
10.06.2026;S;Meelte sagedus Amazonases;536;480;60;502;34
10.06.2026;Y;Kuidas sa tead?;527;0;527;387;140
10.06.2026;S;Kaks tuhat kakskümmend kuus;518;283;239;408;110
10.06.2026;S;Lahutus Eesti moodi;467;362;111;433;34
10.06.2026;S;Jalgpalli maavõistlused;444;22;422;419;25
10.06.2026;S;Ohtlik lend;374;0;374;293;81
10.06.2026;Y;Kurbuse kolmnurk;365;112;257;293;72
10.06.2026;Y;Ülakorruse rahvas;348;0;348;216;132
10.06.2026;Y;Kindral;338;0;338;283;55
10.06.2026;S;Jana - igaveseks märgitud;309;77;239;199;110
10.06.2026;S;31. jaoskond;258;199;62;241;17
10.06.2026;S;Mõrvad põhjas;249;0;249;143;106
10.06.2026;S;Kadunud;248;0;248;150;98
10.06.2026;Y;Suveraamat;243;0;243;192;51
10.06.2026;S;Teel jalgpalli MM-ile;242;18;223;178;64
10.06.2026;S;Segasummasuvila ratastel;240;181;62;227;13
10.06.2026;Y;Meeste Tantsupidu Viiekordne;234;4;230;213;21
10.06.2026;Y;Tennisesajand;224;199;28;220;4
10.06.2026;Y;Guido Kangur. Elu ilusaim aeg;205;32;173;150;55
10.06.2026;Y;Ronaldo: Lissabonist legendiks;204;4;200;119;85
10.06.2026;Y;Titaan;201;0;201;150;51
