date;type;title;total;live;od;web;app
02.06.2026;S;La Promesa;5686;895;4951;4621;1065
02.06.2026;S;Pulss;5227;1040;4293;3584;1643
02.06.2026;S;Aktuaalne kaamera;4763;2225;2688;4251;512
02.06.2026;S;Terevisioon;3245;1926;1398;2880;365
02.06.2026;S;Isa Brown;2188;0;2188;1582;606
02.06.2026;S;ENSV;1751;992;771;1546;205
02.06.2026;S;Esimene stuudio;1502;1212;316;1404;98
02.06.2026;S;Kaks tuhat kakskümmend kuus;1463;521;951;1229;234
02.06.2026;S;Sport;1260;1114;145;1153;107
02.06.2026;S;Hercule Poirot;1194;15;1178;661;533
02.06.2026;S;Eesti mäng;1098;867;245;1004;94
02.06.2026;Y;Pardiralli 2026;887;441;457;776;111
02.06.2026;S;Õnne 13;857;255;618;763;94
02.06.2026;S;Üle noatera;844;685;172;770;74
02.06.2026;S;Ringvaade;681;12;668;611;70
02.06.2026;S;Grace;643;14;629;307;336
02.06.2026;S;Betty diagnoosid;568;260;312;515;53
02.06.2026;S;Kadunud;544;12;531;310;234
02.06.2026;S;Kalifaat;498;0;498;396;102
02.06.2026;S;Ukraina stuudio;498;49;450;400;98
02.06.2026;S;Lahutus Eesti moodi;438;335;105;413;25
02.06.2026;S;Suured loomad, väiksed loomad;370;0;370;198;172
02.06.2026;Y;Lepitus;369;0;369;291;78
02.06.2026;S;Ohtlik lend;365;0;365;258;107
02.06.2026;Y;Maria unistab;356;38;318;274;82
02.06.2026;S;Täna õhtul...;327;290;37;307;20
02.06.2026;S;Mõrvad põhjas;283;0;283;152;131
02.06.2026;Y;Kuldne Trio. Hõbepulm;278;0;278;274;4
02.06.2026;S;Pealtnägija;259;0;259;218;41
02.06.2026;Y;Zorro mask;258;0;258;201;57
02.06.2026;Y;Jane Austeni raamatuklubi;253;0;253;175;78
02.06.2026;S;OP lood;246;179;77;238;8
02.06.2026;Y;Saades Marilyniks;243;19;223;132;111
02.06.2026;S;Luise ja Oliver;227;33;197;26;201
02.06.2026;Y;Juhan Viiding. Eesti Hamlet;223;0;223;211;12
02.06.2026;S;31. jaoskond;213;159;58;201;12
02.06.2026;S;Kirjanike radadel Richard E. Grantiga;213;81;136;152;61
02.06.2026;S;Hommik Anuga;204;4;200;188;16
02.06.2026;S;Õde Boniface'i mõistatused;200;144;59;188;12
02.06.2026;S;Stepilõvi Celaleddin;180;0;180;119;61
02.06.2026;Y;Suur jalutuskäik;180;0;180;106;74
02.06.2026;Y;Paljunäoline Jim Carrey;171;0;171;155;16
02.06.2026;Y;Jaanuari kaks palet;169;0;169;112;57
02.06.2026;S;Marie Antoinette;163;10;153;122;41
02.06.2026;S;Ivalo;163;0;163;122;41
02.06.2026;Y;Jussikese seitse sõpra;160;0;160;0;160
02.06.2026;Y;Ämblikmees: Pole koduteed;155;0;155;102;53
02.06.2026;S;Grantchester;155;0;155;139;16
02.06.2026;S;Jana - igaveseks märgitud;151;0;151;106;45
02.06.2026;S;Teel jalgpalli MM-ile;146;41;108;109;37
02.06.2026;S;Südameasi;143;3;139;106;37
02.06.2026;S;Lühhike öppetus Eesti kultuurist;143;0;143;86;57
02.06.2026;S;Õhinapõhised;142;0;142;109;33
02.06.2026;S;Kuld;139;0;139;69;70
02.06.2026;Y;Sinine kaftan;139;0;139;106;33
02.06.2026;S;Maxima;138;0;138;122;16
02.06.2026;S;Archie;136;106;30;132;4
02.06.2026;Y;Torn;136;0;136;116;20
02.06.2026;S;Buratino tegutseb jälle;128;0;128;13;115
02.06.2026;S;Tuulepealne maa;126;0;126;106;20
02.06.2026;S;Impulss;122;0;122;106;16
02.06.2026;Y;Vigala Sass - viimased lindid;122;11;111;69;53
02.06.2026;Y;Karl ja Marilyn;121;7;112;96;25
02.06.2026;S;Maa, armastan Sind!;114;57;58;102;12
02.06.2026;Y;Billy Elliot;108;30;85;92;16
02.06.2026;S;Osoon;107;0;107;99;8
02.06.2026;S;Reetur;107;0;107;66;41
02.06.2026;S;Milderid Marokos;107;0;107;50;57
02.06.2026;Y;Tiivasirutus;107;0;107;99;8
02.06.2026;S;Professor T.;99;0;99;66;33
02.06.2026;S;Homme põgeneme;98;0;98;20;78
02.06.2026;S;Kõik patud;96;0;96;59;37
02.06.2026;Y;Mitut värvi haldjad;96;0;96;76;20
02.06.2026;S;Raudne eesriie. Elu Nõukogude okupatsiooni tingimustes;91;0;91;46;45
02.06.2026;S;Rakett 69;91;30;61;46;45
02.06.2026;Y;Öine navigatsioon;89;0;89;73;16
02.06.2026;S;Maailma ohtlikemad raudteed;87;0;87;46;41
02.06.2026;S;Kadumiste kolmnurk;84;0;84;59;25
02.06.2026;S;Lahku. Barcelona;81;0;81;73;8
02.06.2026;S;OP;77;4;73;73;4
02.06.2026;S;Välisilm;73;3;70;69;4
02.06.2026;Y;Tuulearmuke;72;0;72;56;16
02.06.2026;S;Eurovisiooni lauluvõistlus 2026;71;0;71;26;45
02.06.2026;S;Maailm ja mõnda;71;0;71;63;8
02.06.2026;Y;Seltsimees laps;71;0;71;63;8
02.06.2026;Y;Alcarràs;70;0;70;66;4
02.06.2026;S;See ei ole mõrvamüsteerium;69;0;69;40;29
02.06.2026;Y;Röövlirahnu Martin;69;0;69;53;16
