date;type;title;total;live;od;web;app
07.06.2026;S;Aktuaalne kaamera;4444;2127;2489;4019;425
07.06.2026;S;Hercule Poirot;2173;936;1302;1594;579
07.06.2026;S;Kadunud;2103;1110;1039;1656;447
07.06.2026;S;Isa Brown;1661;0;1661;1020;641
07.06.2026;S;La Promesa;1423;16;1408;1115;308
07.06.2026;S;Sport;1296;1050;264;1175;121
07.06.2026;S;Pulss;1263;0;1263;963;300
07.06.2026;S;Õnne 13;1241;580;701;1087;154
07.06.2026;Y;Suveraamat;1104;0;1104;657;447
07.06.2026;S;Hommik Anuga;1077;605;496;963;114
07.06.2026;S;Sherlock;851;588;281;704;147
07.06.2026;Y;Meeste Tantsupeo eel;748;547;208;660;88
07.06.2026;Y;Kindral;730;177;574;543;187
07.06.2026;S;ENSV;724;4;720;533;191
07.06.2026;S;Grace;701;12;689;419;282
07.06.2026;S;Kaks tuhat kakskümmend kuus;621;5;616;445;176
07.06.2026;S;Milderid Marokos;611;320;297;468;143
07.06.2026;S;Kalale Koržetsiga;571;292;284;476;95
07.06.2026;S;Terevisioon;552;18;534;512;40
07.06.2026;S;Kontakt;527;393;141;479;48
07.06.2026;S;Telelavastus. 1991;520;390;153;476;44
07.06.2026;Y;Kurbuse kolmnurk;512;4;508;347;165
07.06.2026;Y;Titaan;481;0;481;393;88
07.06.2026;Y;Molutaja;474;88;399;349;125
07.06.2026;S;Tippvormi(s);444;395;62;396;48
07.06.2026;S;Ohtlik lend;421;0;421;285;136
07.06.2026;Y;Neeme Järvi. Muusika üle kõige;380;309;73;347;33
07.06.2026;Y;Lepitus;370;0;370;326;44
07.06.2026;S;Kodukäijad;365;289;76;339;26
07.06.2026;S;Veetee;340;218;124;285;55
07.06.2026;S;Suus sulav Eesti;336;243;101;285;51
07.06.2026;S;Papi;336;0;336;233;103
07.06.2026;S;Mõrvad põhjas;307;0;307;171;136
07.06.2026;S;Suured loomad, väiksed loomad;294;0;294;155;139
07.06.2026;S;Joanna Lumley Suurbritannia avastusretk;275;170;111;238;37
07.06.2026;Y;Disko ja tuumasõda;275;150;128;220;55
07.06.2026;S;Kutse mõrvale;259;118;149;204;55
07.06.2026;S;Öökull;258;0;258;166;92
07.06.2026;Y;Roheline raamat;254;0;254;217;37
07.06.2026;S;Kalifaat;254;0;254;148;106
07.06.2026;S;Ringvaade;240;0;240;236;4
07.06.2026;S;Jalgpalli maavõistlused;233;14;219;215;18
07.06.2026;Y;Johnny Deppi pilgu läbi;202;4;199;129;73
07.06.2026;S;Marie Antoinette;196;10;186;145;51
07.06.2026;S;Pealtnägija;184;0;184;158;26
07.06.2026;S;Luise ja Oliver;181;8;175;16;165
07.06.2026;Y;Rafael Nadal - liivaväljakute kuningas;179;27;155;142;37
07.06.2026;S;Stanley Tucci avastamas Itaaliat;172;38;134;91;81
07.06.2026;Y;Maria unistab;163;0;163;101;62
07.06.2026;S;Grantchester;159;0;159;122;37
07.06.2026;S;Sissi;155;0;155;93;62
07.06.2026;S;Kuld;153;0;153;72;81
07.06.2026;S;Jana - igaveseks märgitud;149;0;149;116;33
07.06.2026;S;Südameasi;146;3;144;98;48
07.06.2026;S;Täna õhtul...;144;89;56;129;15
07.06.2026;S;Tähelaev;144;96;52;122;22
07.06.2026;S;Ivalo;142;0;142;98;44
07.06.2026;Y;Suur põgenemine 1944. Pisarais paadid;141;0;141;75;66
07.06.2026;Y;Rabarber;139;21;119;36;103
