date;type;title;total;live;od;web;app
23.05.2026;S;Aktuaalne kaamera;3942;1760;2331;3601;341
23.05.2026;S;Sport;1235;1009;243;1147;88
23.05.2026;S;Ringvaade;1195;222;996;1049;146
23.05.2026;S;Marie Antoinette;1160;843;354;1030;130
23.05.2026;S;Hercule Poirot;1528;229;1313;1010;518
23.05.2026;S;Jalgpalli Premium Liiga;1021;803;258;960;61
23.05.2026;S;Pealtnägija;1085;256;835;863;222
23.05.2026;S;Grace;1272;180;1104;835;437
23.05.2026;S;Maahommik;995;448;586;815;180
23.05.2026;S;La Promesa;1011;51;960;804;207
23.05.2026;S;Milderid Marokos;863;610;278;729;134
23.05.2026;S;Ühe pere muusika;779;681;108;718;61
23.05.2026;S;Minu meri;743;661;93;701;42
23.05.2026;S;Õhinapõhised;757;361;413;665;92
23.05.2026;S;Suured loomad, väiksed loomad;884;0;884;604;280
23.05.2026;S;Õnne 13;691;0;691;557;134
23.05.2026;S;Lahku. Barcelona;615;0;615;504;111
23.05.2026;S;Terevisioon;510;58;451;429;81
23.05.2026;S;Sinu uus sugulane;433;321;112;395;38
23.05.2026;S;Eesti lood;428;320;108;390;38
23.05.2026;S;Maailm ja mõnda;471;287;200;390;81
23.05.2026;S;Argentina, äärmuste maa;428;330;106;378;50
23.05.2026;S;Ridley;403;274;141;365;38
23.05.2026;S;ENSV;410;0;410;306;104
23.05.2026;S;Veetee;336;265;73;298;38
23.05.2026;S;Hotell Portofino;365;0;365;292;73
23.05.2026;S;Mõrvad põhjas;473;0;473;289;184
23.05.2026;S;Suus sulav Eesti;300;243;60;281;19
23.05.2026;S;Betty diagnoosid;323;114;209;273;50
23.05.2026;S;Ohtlik lend;328;0;328;259;69
23.05.2026;S;Jana - igaveseks märgitud;425;14;413;237;188
23.05.2026;S;Osoon;295;129;174;234;61
23.05.2026;S;Müstiline Venemaa;232;0;232;228;4
23.05.2026;S;Kuld;427;10;419;228;199
23.05.2026;S;Õpe ei lõpe;241;207;37;214;27
23.05.2026;S;Kuninglik skandaal;346;7;339;212;134
23.05.2026;S;Impulss;267;0;267;209;58
23.05.2026;S;Professor T.;309;0;309;198;111
23.05.2026;S;Kadunud;399;0;399;184;215
23.05.2026;S;Segased;230;0;230;184;46
23.05.2026;S;Südameasi;273;6;267;181;92
23.05.2026;S;Tippvormi(s);188;151;37;173;15
23.05.2026;S;Maahommiku lood;157;89;68;134;23
23.05.2026;S;Grantchester;131;89;42;131;0
23.05.2026;S;Davos 1917;172;0;172;122;50
23.05.2026;S;Raudne eesriie. Elu Nõukogude okupatsiooni tingimustes;203;0;203;122;81
23.05.2026;S;Lühhike öppetus Eesti kultuurist;214;0;214;122;92
23.05.2026;S;Rahva oma kaitse;120;0;120;120;0
23.05.2026;S;OP;170;15;155;120;50
23.05.2026;S;31. jaoskond;119;60;60;111;8
23.05.2026;S;Esimene stuudio;126;4;123;111;15
23.05.2026;S;Tuled kodusadamas;170;50;120;109;61
23.05.2026;S;Eurovisiooni lauluvõistlus 2026;245;12;233;103;142
23.05.2026;S;Buratino tegutseb jälle;243;78;166;97;146
23.05.2026;S;Rahva teenrid;99;19;79;95;4
23.05.2026;S;Tuulepealne maa;101;0;101;89;12
23.05.2026;S;Kuula rändajat;86;0;86;86;0
23.05.2026;S;Mullist välja;121;0;121;86;35
23.05.2026;S;Aktuaalne kaamera (viipekeeles);87;74;14;83;4
23.05.2026;S;See ei ole mõrvamüsteerium;139;4;135;81;58
23.05.2026;S;Hommik Anuga;119;4;116;81;38
23.05.2026;S;Sherlock Holmesi lood;75;0;75;75;0
23.05.2026;S;Surm paradiisis;106;0;106;75;31
23.05.2026;S;Elukaaslased;106;0;106;75;31
23.05.2026;S;"Järjejutt. Jari Järvelä ""Mozzarellakuu""";75;0;75;75;0
23.05.2026;S;Eesti lugu;75;3;72;75;0
23.05.2026;S;Kõik patud;156;0;156;72;84
23.05.2026;S;Ivalo;89;0;89;70;19
23.05.2026;S;Reetur;108;0;108;70;38
23.05.2026;S;Reisile minuga;67;50;17;67;0
