date;type;title;total;live;od;web;app
01.06.2026;S;Aktuaalne kaamera;15892;7840;10033;14155;1737
01.06.2026;S;La Promesa;13804;2945;11584;11198;2606
01.06.2026;S;Pulss;13494;3304;11016;9634;3860
01.06.2026;S;Terevisioon;11829;5086;7435;10912;917
01.06.2026;S;Isa Brown;6963;0;6963;4598;2365
01.06.2026;S;Kaks tuhat kakskümmend kuus;6530;1402;5223;5227;1303
01.06.2026;S;Hercule Poirot;5039;1480;3769;3567;1472
01.06.2026;S;ENSV;4962;2639;2480;4407;555
01.06.2026;S;Sport;4818;4121;1002;4311;507
01.06.2026;Y;Suveraamat;4086;172;3934;2518;1568
01.06.2026;S;Esimene stuudio;3965;2350;1710;3434;531
01.06.2026;S;Kadunud;3883;1285;2694;3014;869
01.06.2026;S;Õnne 13;3745;1819;2155;3262;483
01.06.2026;Y;Pardiralli 2026;3414;2811;665;3052;362
01.06.2026;S;Grace;3394;902;2588;2308;1086
01.06.2026;S;Hommik Anuga;2899;1347;1724;2537;362
01.06.2026;Y;Lepitus;2824;0;2824;2366;458
01.06.2026;S;Ringvaade;2697;239;2477;2480;217
01.06.2026;S;Eesti mäng;2508;2053;551;2098;410
01.06.2026;Y;Kindral;2136;1428;842;1774;362
01.06.2026;S;Kalifaat;2105;0;2105;1622;483
01.06.2026;S;Ukraina stuudio;2012;1204;808;1698;314
01.06.2026;Y;Jane Austeni raamatuklubi;2009;444;1564;1526;483
01.06.2026;S;Lahutus Eesti moodi;1884;1441;539;1812;72
01.06.2026;S;Milderid Marokos;1836;892;944;1450;386
01.06.2026;S;Betty diagnoosid;1819;1140;773;1698;121
01.06.2026;S;Pealtnägija;1640;0;1640;1278;362
01.06.2026;S;Jalgpalli maavõistlused;1586;1075;549;1393;193
01.06.2026;Y;Maria unistab;1425;0;1425;1087;338
01.06.2026;S;Sherlock;1400;975;445;1183;217
01.06.2026;S;Maitserännak Eestimaal;1352;1127;263;1183;169
01.06.2026;S;Sinu uus sugulane;1319;1094;269;1126;193
01.06.2026;S;Kalale Koržetsiga;1314;702;632;1049;265
01.06.2026;S;Maailm ja mõnda;1309;525;784;1068;241
01.06.2026;S;Ohtlik lend;1295;0;1295;1030;265
01.06.2026;Y;Kurbuse kolmnurk;1295;215;1080;1030;265
01.06.2026;S;Maahommik;1261;577;703;1068;193
01.06.2026;S;Öökull;1214;0;1214;973;241
01.06.2026;S;Õde Boniface'i mõistatused;1165;917;267;1068;97
01.06.2026;S;Mõrvad põhjas;1106;0;1106;744;362
01.06.2026;S;Papi;1085;0;1085;820;265
01.06.2026;S;Marie Antoinette;1053;191;862;763;290
01.06.2026;S;Jana - igaveseks märgitud;994;0;994;801;193
01.06.2026;S;31. jaoskond;994;692;320;897;97
01.06.2026;Y;Kutsutud külaline. Enn Eesmaa;983;754;248;935;48
01.06.2026;Y;Jaanuari kaks palet;958;0;958;668;290
01.06.2026;S;Kodukäijad;945;768;196;897;48
01.06.2026;S;Suured loomad, väiksed loomad;944;0;944;534;410
01.06.2026;Y;Sinine kaftan;937;19;937;744;193
01.06.2026;S;Prillitoos;926;654;272;878;48
01.06.2026;Y;Kuldne Trio. Hõbepulm;917;0;917;820;97
01.06.2026;S;Üle noatera;908;702;244;763;145
01.06.2026;Y;Zorro mask;904;0;904;687;217
01.06.2026;S;Tippvormi(s);873;721;153;801;72
01.06.2026;Y;Suur jalutuskäik;861;0;861;668;193
01.06.2026;Y;Reet Linna: Elame veel!;846;544;301;725;121
01.06.2026;S;Ivalo;842;0;842;649;193
01.06.2026;S;Joanna Lumley Suurbritannia avastusretk;832;563;312;687;145
01.06.2026;S;Luise ja Oliver;819;19;800;95;724
01.06.2026;Y;Saades Marilyniks;799;76;723;534;265
01.06.2026;S;Grantchester;784;0;784;591;193
01.06.2026;Y;Jussikese seitse sõpra;767;0;767;19;748
01.06.2026;S;Teel jalgpalli MM-ile;760;196;565;591;169
01.06.2026;S;Veetee;746;553;192;649;97
01.06.2026;Y;Juhan Viiding. Eesti Hamlet;735;272;463;687;48
01.06.2026;S;Kirjanike radadel Richard E. Grantiga;732;253;479;515;217
01.06.2026;S;Archie;727;482;282;630;97
01.06.2026;Y;Meeste Tantsupeo eel;702;501;201;630;72
01.06.2026;S;Kuld;700;0;700;362;338
01.06.2026;Y;Ämblikmees: Pole koduteed;694;0;694;477;217
01.06.2026;Y;Vigala Sass - viimased lindid;694;248;446;477;217
01.06.2026;S;Stepilõvi Celaleddin;689;0;689;496;193
01.06.2026;S;Eesti lood;688;234;473;591;97
01.06.2026;Y;Molutaja;670;277;455;477;193
01.06.2026;Y;Disko ja tuumasõda;622;277;345;477;145
01.06.2026;S;Ridade vahel;606;463;162;534;72
01.06.2026;S;Sissi;603;0;603;362;241
