date;type;title;total;live;od;web;app
19.05.2026;S;Aktuaalne kaamera;5465;2803;2913;4877;588
19.05.2026;S;La Promesa;5427;705;4781;4016;1411
19.05.2026;S;Ringvaade;3774;1804;2134;3454;320
19.05.2026;S;Terevisioon;3105;2060;1123;2713;392
19.05.2026;S;Impulss;2246;1749;556;2024;222
19.05.2026;S;Sport;1523;1382;151;1416;107
19.05.2026;S;Esimene stuudio;1465;1217;273;1384;81
19.05.2026;S;Suured loomad, väiksed loomad;1864;0;1864;1233;631
19.05.2026;S;Kuninglik skandaal;1336;855;528;1153;183
19.05.2026;S;Õnne 13;912;224;706;780;132
19.05.2026;S;Hercule Poirot;1233;4;1229;713;520
19.05.2026;S;Grace;892;0;892;632;260
19.05.2026;S;Pealtnägija;645;9;636;538;107
19.05.2026;S;Osoon;562;214;351;524;38
19.05.2026;S;Betty diagnoosid;519;251;279;464;55
19.05.2026;S;Maahommik;493;346;151;446;47
19.05.2026;S;Välisilm;503;53;450;422;81
19.05.2026;S;Südameasi;472;60;413;365;107
19.05.2026;S;Mõrvad põhjas;579;0;579;362;217
19.05.2026;S;ENSV;449;0;449;355;94
19.05.2026;S;31. jaoskond;371;250;132;337;34
19.05.2026;S;Kirjandusministri juures. Muusika eri;337;298;39;320;17
19.05.2026;S;Raudne eesriie. Elu Nõukogude okupatsiooni tingimustes;381;56;332;292;89
19.05.2026;S;Grantchester;291;244;46;278;13
19.05.2026;S;Jana - igaveseks märgitud;484;0;484;267;217
19.05.2026;S;Eurovisiooni lauluvõistlus 2026;473;28;445;260;213
19.05.2026;S;Eesti lood;270;168;114;249;21
19.05.2026;S;Tervist!;266;242;28;249;17
19.05.2026;S;Kuld;476;17;461;242;234
19.05.2026;S;Ohtlik lend;328;0;328;239;89
19.05.2026;S;Elukaaslased;329;11;319;235;94
19.05.2026;S;Õde Boniface'i mõistatused;236;204;32;232;4
19.05.2026;S;Mullist välja;252;4;248;214;38
19.05.2026;S;Öine rong;237;0;237;211;26
19.05.2026;S;Müstiline Venemaa;211;0;211;211;0
19.05.2026;S;Hommik Anuga;209;8;200;183;26
19.05.2026;S;Professor T.;305;0;305;169;136
19.05.2026;S;Hotell Portofino;202;0;202;151;51
19.05.2026;S;See ei ole mõrvamüsteerium;186;24;162;105;81
19.05.2026;S;Rahva oma kaitse;105;4;102;105;0
19.05.2026;S;Tuled kodusadamas;132;4;128;102;30
19.05.2026;S;Lühhike öppetus Eesti kultuurist;145;0;145;102;43
19.05.2026;S;Kõik patud;145;0;145;102;43
19.05.2026;S;Hiina - iidne looduse kuningriik;145;53;92;98;47
19.05.2026;S;OP;116;4;112;95;21
19.05.2026;S;Kadunud;176;0;176;95;81
19.05.2026;S;Vestlused sõpradega;121;0;121;95;26
