date;type;title;total;live;od;web;app
30.05.20026;S;Aktuaalne kaamera;3537;1488;2186;3206;331
30.05.20026;S;Hercule Poirot;1662;241;1453;1058;604
30.05.20026;S;Sport;1118;887;255;1032;86
30.05.20026;S;Marie Antoinette;1093;782;344;942;151
30.05.20026;S;Ringvaade;1079;216;884;921;158
30.05.20026;S;La Promesa;1055;18;1037;850;205
30.05.20026;S;Maahommik;1014;465;574;813;201
30.05.20026;S;Grace;1154;154;1002;748;406
30.05.20026;S;Terevisioon;769;52;721;708;61
30.05.20026;S;Pealtnägija;863;265;609;676;187
30.05.20026;S;Ühe pere muusika;711;621;99;661;50
30.05.20026;S;Minu meri;718;565;161;653;65
30.05.20026;S;Milderid Marokos;790;457;341;650;140
30.05.20026;S;Kalifaat;808;0;808;632;176
30.05.20026;S;Õhinapõhised;712;358;362;608;104
30.05.20026;S;Kadunud;796;201;599;519;277
30.05.20026;S;Tähelaev;535;445;107;492;43
30.05.20026;S;Prillitoos;533;417;126;490;43
30.05.20026;S;Õnne 13;567;0;567;434;133
30.05.20026;S;Grantchester;475;0;475;382;93
30.05.20026;S;Argentina, äärmuste maa;451;315;141;379;72
30.05.20026;S;Jalgpalli Premium Liiga;414;263;158;374;40
30.05.20026;S;Maailm ja mõnda;422;288;137;368;54
30.05.20026;S;ENSV;462;0;462;358;104
30.05.20026;S;Maxima;374;0;374;342;32
30.05.20026;S;Suus sulav Eesti;357;296;65;332;25
30.05.20026;S;Veetee;316;271;49;284;32
30.05.20026;S;Suured loomad, väiksed loomad;446;0;446;284;162
30.05.20026;S;Ohtlik lend;297;0;297;229;68
30.05.20026;S;Müstiline Venemaa;228;0;228;224;4
30.05.20026;S;Õpe ei lõpe;243;214;29;221;22
30.05.20026;S;Betty diagnoosid;273;93;183;205;68
30.05.20026;S;Mõrvad põhjas;337;0;337;190;147
30.05.20026;S;Archie;201;69;132;176;25
30.05.20026;S;Tippvormi(s);188;153;37;166;22
30.05.20026;S;Jana - igaveseks märgitud;301;9;292;161;140
30.05.20026;S;Kuld;233;0;233;129;104
30.05.20026;S;Südameasi;187;3;185;126;61
30.05.20026;S;Esimene stuudio;148;10;138;126;22
30.05.20026;S;Rahva teenrid;121;16;105;121;0
30.05.20026;S;Joanna Lumley Suurbritannia avastusretk;168;15;154;121;47
30.05.20026;S;Leiutades Eestit;118;111;8;118;0
30.05.20026;S;Impulss;159;0;159;116;43
30.05.20026;S;Pulss;115;0;115;111;4
30.05.20026;S;Professor T.;173;0;173;108;65
30.05.20026;S;Ivalo;151;0;151;108;43
30.05.20026;S;Rahva oma kaitse;105;0;105;105;0
30.05.20026;S;Hommik Anuga;103;3;101;89;14
30.05.20026;S;31. jaoskond;107;41;66;89;18
30.05.20026;S;Lühhike öppetus Eesti kultuurist;142;0;142;84;58
30.05.20026;S;OP;116;0;116;84;32
30.05.20026;S;Kadumiste kolmnurk;111;0;111;82;29
30.05.20026;S;Raudne eesriie. Elu Nõukogude okupatsiooni tingimustes;154;0;154;79;75
30.05.20026;S;Eesti lugu;79;8;71;79;0
30.05.20026;S;Kosmo;191;75;119;76;115
30.05.20026;S;Käbi ei kuku...;76;5;71;76;0
30.05.20026;S;Kuninglik skandaal;112;0;112;76;36
30.05.20026;S;Põrsas Peppa;750;33;719;74;676
30.05.20026;S;Tuulepealne maa;81;0;81;74;7
30.05.20026;S;Kõik patud;93;0;93;68;25
30.05.20026;S;Kuula rändajat;66;0;66;66;0
30.05.20026;S;Eesti lood;73;0;73;66;7
30.05.20026;S;Teel jalgpalli MM-ile;88;0;88;63;25
